image_id,filename,npz_index,domain_id,modality_group,corruption_type,corruption_family,corruption_severity,is_unseen_corruption,label
train_000072,train/images.npz,72,domain_07,ct,none,generic,0,False,class_036
train_000073,train/images.npz,73,domain_07,ct,none,generic,0,False,class_042
train_000074,train/images.npz,74,domain_07,ct,contrast,generic,1,False,class_037
train_000075,train/images.npz,75,domain_15,microscopy,brightness,generic,2,False,class_105
train_000076,train/images.npz,76,domain_03,xray,contrast,generic,1,False,class_017
train_000077,train/images.npz,77,domain_13,retinal,noise,generic,2,False,class_094
train_000078,train/images.npz,78,domain_03,xray,noise,generic,1,False,class_014
train_000079,train/images.npz,79,domain_07,ct,none,generic,0,False,class_046
train_000080,train/images.npz,80,domain_08,ct,noise,generic,2,False,class_053
train_000081,train/images.npz,81,domain_13,retinal,none,generic,0,False,class_093
train_000082,train/images.npz,82,domain_11,microscopy,contrast,generic,2,False,class_086
train_000083,train/images.npz,83,domain_13,retinal,contrast,generic,1,False,class_094
train_000084,train/images.npz,84,domain_03,xray,none,generic,0,False,class_014
train_000085,train/images.npz,85,domain_15,microscopy,contrast,generic,1,False,class_101
train_000086,train/images.npz,86,domain_03,xray,noise,generic,1,False,class_019
train_000087,train/images.npz,87,domain_06,retinal,none,generic,0,False,class_034
train_000088,train/images.npz,88,domain_01,microscopy,none,generic,0,False,class_009
train_000089,train/images.npz,89,domain_13,retinal,none,generic,0,False,class_092
train_000090,train/images.npz,90,domain_16,3d_projection,none,generic,0,False,class_106
train_000091,train/images.npz,91,domain_03,xray,noise,generic,1,False,class_015
train_000092,train/images.npz,92,domain_10,ct,noise,generic,1,False,class_079
train_000093,train/images.npz,93,domain_06,retinal,blur,generic,2,False,class_034
train_000094,train/images.npz,94,domain_08,ct,none,generic,0,False,class_054
train_000095,train/images.npz,95,domain_01,microscopy,none,generic,0,False,class_009
train_000096,train/images.npz,96,domain_08,ct,contrast,generic,1,False,class_051
train_000097,train/images.npz,97,domain_08,ct,none,generic,0,False,class_047
train_000098,train/images.npz,98,domain_03,xray,blur,generic,1,False,class_022
train_000099,train/images.npz,99,domain_11,microscopy,none,generic,0,False,class_085
train_000100,train/images.npz,100,domain_06,retinal,none,generic,0,False,class_032
train_000101,train/images.npz,101,domain_01,microscopy,none,generic,0,False,class_004
train_000102,train/images.npz,102,domain_11,microscopy,none,generic,0,False,class_083
train_000103,train/images.npz,103,domain_03,xray,none,generic,0,False,class_023
train_000104,train/images.npz,104,domain_03,xray,none,generic,0,False,class_012
train_000105,train/images.npz,105,domain_03,xray,none,generic,0,False,class_015
train_000106,train/images.npz,106,domain_07,ct,noise,generic,1,False,class_042
train_000107,train/images.npz,107,domain_14,3d_projection,none,generic,0,False,class_097
train_000108,train/images.npz,108,domain_11,microscopy,none,generic,0,False,class_080
train_000109,train/images.npz,109,domain_01,microscopy,brightness,generic,1,False,class_002
train_000110,train/images.npz,110,domain_10,ct,contrast,generic,1,False,class_079
train_000111,train/images.npz,111,domain_06,retinal,none,generic,0,False,class_035
train_000112,train/images.npz,112,domain_00,3d_projection,none,generic,0,False,class_000
train_000113,train/images.npz,113,domain_08,ct,none,generic,0,False,class_049
train_000114,train/images.npz,114,domain_03,xray,noise,generic,1,False,class_019
train_000115,train/images.npz,115,domain_13,retinal,none,generic,0,False,class_095
train_000116,train/images.npz,116,domain_03,xray,none,generic,0,False,class_018
train_000117,train/images.npz,117,domain_07,ct,none,generic,0,False,class_038
train_000118,train/images.npz,118,domain_07,ct,blur,generic,1,False,class_038
train_000119,train/images.npz,119,domain_08,ct,none,generic,0,False,class_053
train_000120,train/images.npz,120,domain_07,ct,noise,generic,1,False,class_042
train_000121,train/images.npz,121,domain_08,ct,blur,generic,1,False,class_052
train_000122,train/images.npz,122,domain_08,ct,none,generic,0,False,class_048
train_000123,train/images.npz,123,domain_03,xray,contrast,generic,1,False,class_024
train_000124,train/images.npz,124,domain_08,ct,brightness,generic,2,False,class_057
train_000125,train/images.npz,125,domain_07,ct,contrast,generic,2,False,class_043
train_000126,train/images.npz,126,domain_15,microscopy,contrast,generic,1,False,class_100
train_000127,train/images.npz,127,domain_07,ct,blur,generic,1,False,class_039
train_000128,train/images.npz,128,domain_09,3d_projection,brightness,generic,2,False,class_063
train_000129,train/images.npz,129,domain_01,microscopy,contrast,generic,1,False,class_007
train_000130,train/images.npz,130,domain_11,microscopy,none,generic,0,False,class_082
train_000131,train/images.npz,131,domain_13,retinal,noise,generic,2,False,class_091
train_000132,train/images.npz,132,domain_08,ct,contrast,generic,2,False,class_052
train_000133,train/images.npz,133,domain_12,xray,none,generic,0,False,class_090
train_000134,train/images.npz,134,domain_15,microscopy,none,generic,0,False,class_103
train_000135,train/images.npz,135,domain_08,ct,noise,generic,1,False,class_053
train_000136,train/images.npz,136,domain_10,ct,none,generic,0,False,class_078
train_000137,train/images.npz,137,domain_01,microscopy,none,generic,0,False,class_002
train_000138,train/images.npz,138,domain_09,3d_projection,brightness,generic,1,False,class_066
train_000139,train/images.npz,139,domain_15,microscopy,none,generic,0,False,class_100
train_000140,train/images.npz,140,domain_03,xray,none,generic,0,False,class_016
train_000141,train/images.npz,141,domain_07,ct,none,generic,0,False,class_044
train_000142,train/images.npz,142,domain_13,retinal,none,generic,0,False,class_091
train_000143,train/images.npz,143,domain_01,microscopy,brightness,generic,1,False,class_005
train_000144,train/images.npz,144,domain_15,microscopy,blur,generic,1,False,class_102
train_000145,train/images.npz,145,domain_06,retinal,none,generic,0,False,class_032
train_000146,train/images.npz,146,domain_01,microscopy,noise,generic,2,False,class_003
train_000147,train/images.npz,147,domain_03,xray,blur,generic,2,False,class_020
train_000148,train/images.npz,148,domain_08,ct,none,generic,0,False,class_049
train_000149,train/images.npz,149,domain_08,ct,noise,generic,1,False,class_052
train_000150,train/images.npz,150,domain_14,3d_projection,contrast,generic,1,False,class_096
train_000151,train/images.npz,151,domain_13,retinal,contrast,generic,1,False,class_094
train_000152,train/images.npz,152,domain_15,microscopy,none,generic,0,False,class_100
train_000153,train/images.npz,153,domain_14,3d_projection,contrast,generic,1,False,class_096
train_000154,train/images.npz,154,domain_10,ct,none,generic,0,False,class_069
train_000155,train/images.npz,155,domain_07,ct,none,generic,0,False,class_044
train_000156,train/images.npz,156,domain_07,ct,contrast,generic,1,False,class_042
train_000157,train/images.npz,157,domain_15,microscopy,blur,generic,1,False,class_101
train_000158,train/images.npz,158,domain_07,ct,none,generic,0,False,class_036
train_000159,train/images.npz,159,domain_10,ct,contrast,generic,1,False,class_072
train_000160,train/images.npz,160,domain_09,3d_projection,none,generic,0,False,class_064
train_000161,train/images.npz,161,domain_12,xray,none,generic,0,False,class_089
train_000162,train/images.npz,162,domain_07,ct,brightness,generic,1,False,class_044
train_000163,train/images.npz,163,domain_10,ct,noise,generic,1,False,class_076
train_000164,train/images.npz,164,domain_03,xray,none,generic,0,False,class_014
train_000165,train/images.npz,165,domain_15,microscopy,none,generic,0,False,class_104
train_000166,train/images.npz,166,domain_08,ct,none,generic,0,False,class_050
train_000167,train/images.npz,167,domain_08,ct,none,generic,0,False,class_053
train_000168,train/images.npz,168,domain_03,xray,none,generic,0,False,class_019
train_000169,train/images.npz,169,domain_11,microscopy,none,generic,0,False,class_083
train_000170,train/images.npz,170,domain_08,ct,none,generic,0,False,class_049
train_000171,train/images.npz,171,domain_08,ct,contrast,generic,2,False,class_049
train_000172,train/images.npz,172,domain_11,microscopy,noise,generic,2,False,class_084
train_000173,train/images.npz,173,domain_10,ct,none,generic,0,False,class_075
train_000174,train/images.npz,174,domain_10,ct,none,generic,0,False,class_070
train_000175,train/images.npz,175,domain_07,ct,none,generic,0,False,class_046
train_000176,train/images.npz,176,domain_03,xray,contrast,generic,1,False,class_019
train_000177,train/images.npz,177,domain_07,ct,contrast,generic,1,False,class_037
train_000178,train/images.npz,178,domain_00,3d_projection,none,generic,0,False,class_000
train_000179,train/images.npz,179,domain_09,3d_projection,noise,generic,1,False,class_058
train_000180,train/images.npz,180,domain_07,ct,contrast,generic,1,False,class_043
train_000181,train/images.npz,181,domain_11,microscopy,blur,generic,2,False,class_083
train_000182,train/images.npz,182,domain_11,microscopy,none,generic,0,False,class_085
train_000183,train/images.npz,183,domain_15,microscopy,contrast,generic,1,False,class_102
train_000184,train/images.npz,184,domain_05,3d_projection,none,generic,0,False,class_030
train_000185,train/images.npz,185,domain_01,microscopy,contrast,generic,1,False,class_002
train_000186,train/images.npz,186,domain_07,ct,contrast,generic,2,False,class_040
train_000187,train/images.npz,187,domain_11,microscopy,blur,generic,1,False,class_085
train_000188,train/images.npz,188,domain_11,microscopy,none,generic,0,False,class_088
train_000189,train/images.npz,189,domain_08,ct,brightness,generic,1,False,class_056
train_000190,train/images.npz,190,domain_13,retinal,none,generic,0,False,class_092
train_000191,train/images.npz,191,domain_07,ct,none,generic,0,False,class_036
train_000192,train/images.npz,192,domain_03,xray,noise,generic,1,False,class_025
train_000193,train/images.npz,193,domain_07,ct,brightness,generic,1,False,class_043
train_000194,train/images.npz,194,domain_01,microscopy,blur,generic,2,False,class_009
train_000195,train/images.npz,195,domain_03,xray,brightness,generic,1,False,class_017
train_000196,train/images.npz,196,domain_09,3d_projection,brightness,generic,2,False,class_058
train_000197,train/images.npz,197,domain_11,microscopy,none,generic,0,False,class_080
train_000198,train/images.npz,198,domain_11,microscopy,none,generic,0,False,class_087
train_000199,train/images.npz,199,domain_01,microscopy,noise,generic,1,False,class_009
train_000200,train/images.npz,200,domain_07,ct,none,generic,0,False,class_036
train_000201,train/images.npz,201,domain_06,retinal,noise,generic,1,False,class_034
train_000202,train/images.npz,202,domain_09,3d_projection,brightness,generic,1,False,class_063
train_000203,train/images.npz,203,domain_01,microscopy,contrast,generic,1,False,class_008
train_000204,train/images.npz,204,domain_03,xray,none,generic,0,False,class_023
train_000205,train/images.npz,205,domain_09,3d_projection,blur,generic,1,False,class_064
train_000206,train/images.npz,206,domain_15,microscopy,brightness,generic,1,False,class_098
train_000207,train/images.npz,207,domain_07,ct,contrast,generic,1,False,class_040
train_000208,train/images.npz,208,domain_11,microscopy,none,generic,0,False,class_087
train_000209,train/images.npz,209,domain_09,3d_projection,none,generic,0,False,class_062
train_000210,train/images.npz,210,domain_01,microscopy,none,generic,0,False,class_006
train_000211,train/images.npz,211,domain_10,ct,none,generic,0,False,class_071
train_000212,train/images.npz,212,domain_06,retinal,brightness,generic,1,False,class_034
train_000213,train/images.npz,213,domain_10,ct,none,generic,0,False,class_073
train_000214,train/images.npz,214,domain_09,3d_projection,none,generic,0,False,class_059
train_000215,train/images.npz,215,domain_13,retinal,none,generic,0,False,class_093
train_000216,train/images.npz,216,domain_10,ct,none,generic,0,False,class_078
train_000217,train/images.npz,217,domain_02,ultrasound,brightness,generic,1,False,class_011
train_000218,train/images.npz,218,domain_13,retinal,none,generic,0,False,class_095
train_000219,train/images.npz,219,domain_07,ct,brightness,generic,1,False,class_038
train_000220,train/images.npz,220,domain_03,xray,contrast,generic,1,False,class_016
train_000221,train/images.npz,221,domain_08,ct,brightness,generic,2,False,class_052
train_000222,train/images.npz,222,domain_09,3d_projection,none,generic,0,False,class_059
train_000223,train/images.npz,223,domain_01,microscopy,brightness,generic,1,False,class_008
train_000224,train/images.npz,224,domain_11,microscopy,none,generic,0,False,class_081
train_000225,train/images.npz,225,domain_05,3d_projection,none,generic,0,False,class_031
train_000226,train/images.npz,226,domain_12,xray,noise,generic,1,False,class_089
train_000227,train/images.npz,227,domain_04,3d_projection,blur,generic,1,False,class_028
train_000228,train/images.npz,228,domain_09,3d_projection,none,generic,0,False,class_063
train_000229,train/images.npz,229,domain_11,microscopy,contrast,generic,1,False,class_081
train_000230,train/images.npz,230,domain_01,microscopy,noise,generic,2,False,class_004
train_000231,train/images.npz,231,domain_05,3d_projection,none,generic,0,False,class_031
train_000232,train/images.npz,232,domain_01,microscopy,none,generic,0,False,class_009
train_000233,train/images.npz,233,domain_10,ct,blur,generic,1,False,class_074
train_000234,train/images.npz,234,domain_07,ct,contrast,generic,1,False,class_036
train_000235,train/images.npz,235,domain_16,3d_projection,none,generic,0,False,class_106
train_000236,train/images.npz,236,domain_08,ct,none,generic,0,False,class_054
train_000237,train/images.npz,237,domain_04,3d_projection,noise,generic,1,False,class_029
train_000238,train/images.npz,238,domain_03,xray,contrast,generic,1,False,class_019
train_000239,train/images.npz,239,domain_03,xray,brightness,generic,1,False,class_023
train_000240,train/images.npz,240,domain_12,xray,contrast,generic,1,False,class_089
train_000241,train/images.npz,241,domain_01,microscopy,blur,generic,1,False,class_002
train_000242,train/images.npz,242,domain_16,3d_projection,blur,generic,1,False,class_106
train_000243,train/images.npz,243,domain_16,3d_projection,none,generic,0,False,class_106
train_000244,train/images.npz,244,domain_12,xray,none,generic,0,False,class_089
train_000245,train/images.npz,245,domain_10,ct,none,generic,0,False,class_069
train_000246,train/images.npz,246,domain_12,xray,none,generic,0,False,class_090
train_000247,train/images.npz,247,domain_11,microscopy,contrast,generic,2,False,class_082
train_000248,train/images.npz,248,domain_10,ct,none,generic,0,False,class_071
train_000249,train/images.npz,249,domain_11,microscopy,blur,generic,2,False,class_085
train_000250,train/images.npz,250,domain_08,ct,none,generic,0,False,class_050
train_000251,train/images.npz,251,domain_13,retinal,none,generic,0,False,class_093
train_000252,train/images.npz,252,domain_11,microscopy,brightness,generic,2,False,class_081
train_000253,train/images.npz,253,domain_12,xray,contrast,generic,1,False,class_090
train_000254,train/images.npz,254,domain_07,ct,none,generic,0,False,class_044
train_000255,train/images.npz,255,domain_07,ct,noise,generic,1,False,class_041
train_000256,train/images.npz,256,domain_10,ct,none,generic,0,False,class_074
train_000257,train/images.npz,257,domain_06,retinal,none,generic,0,False,class_034
train_000258,train/images.npz,258,domain_06,retinal,none,generic,0,False,class_032
train_000259,train/images.npz,259,domain_13,retinal,contrast,generic,2,False,class_092
train_000260,train/images.npz,260,domain_06,retinal,brightness,generic,1,False,class_032
train_000261,train/images.npz,261,domain_08,ct,none,generic,0,False,class_048
train_000262,train/images.npz,262,domain_11,microscopy,none,generic,0,False,class_082
train_000263,train/images.npz,263,domain_14,3d_projection,none,generic,0,False,class_097
train_000264,train/images.npz,264,domain_03,xray,none,generic,0,False,class_020
train_000265,train/images.npz,265,domain_04,3d_projection,brightness,generic,1,False,class_027
train_000266,train/images.npz,266,domain_03,xray,none,generic,0,False,class_012
train_000267,train/images.npz,267,domain_15,microscopy,none,generic,0,False,class_099
train_000268,train/images.npz,268,domain_11,microscopy,blur,generic,1,False,class_081
train_000269,train/images.npz,269,domain_11,microscopy,brightness,generic,1,False,class_084
train_000270,train/images.npz,270,domain_08,ct,none,generic,0,False,class_051
train_000271,train/images.npz,271,domain_07,ct,none,generic,0,False,class_041
train_000272,train/images.npz,272,domain_07,ct,none,generic,0,False,class_046
train_000273,train/images.npz,273,domain_12,xray,brightness,generic,1,False,class_090
train_000274,train/images.npz,274,domain_15,microscopy,brightness,generic,1,False,class_099
train_000275,train/images.npz,275,domain_08,ct,noise,generic,1,False,class_057
train_000276,train/images.npz,276,domain_11,microscopy,blur,generic,2,False,class_083
train_000277,train/images.npz,277,domain_08,ct,brightness,generic,1,False,class_055
train_000278,train/images.npz,278,domain_15,microscopy,none,generic,0,False,class_098
train_000279,train/images.npz,279,domain_03,xray,none,generic,0,False,class_013
train_000280,train/images.npz,280,domain_13,retinal,none,generic,0,False,class_094
train_000281,train/images.npz,281,domain_15,microscopy,blur,generic,1,False,class_102
train_000282,train/images.npz,282,domain_10,ct,noise,generic,1,False,class_077
train_000283,train/images.npz,283,domain_10,ct,contrast,generic,1,False,class_073
train_000284,train/images.npz,284,domain_03,xray,brightness,generic,1,False,class_018
train_000285,train/images.npz,285,domain_09,3d_projection,contrast,generic,2,False,class_061
train_000286,train/images.npz,286,domain_08,ct,brightness,generic,2,False,class_049
train_000287,train/images.npz,287,domain_06,retinal,noise,generic,2,False,class_033
train_000288,train/images.npz,288,domain_09,3d_projection,none,generic,0,False,class_064
train_000289,train/images.npz,289,domain_11,microscopy,none,generic,0,False,class_082
train_000290,train/images.npz,290,domain_00,3d_projection,none,generic,0,False,class_001
train_000291,train/images.npz,291,domain_15,microscopy,none,generic,0,False,class_105
train_000292,train/images.npz,292,domain_06,retinal,noise,generic,1,False,class_033
train_000293,train/images.npz,293,domain_01,microscopy,noise,generic,2,False,class_005
train_000294,train/images.npz,294,domain_09,3d_projection,none,generic,0,False,class_062
train_000295,train/images.npz,295,domain_01,microscopy,contrast,generic,1,False,class_006
train_000296,train/images.npz,296,domain_11,microscopy,brightness,generic,1,False,class_087
train_000297,train/images.npz,297,domain_03,xray,contrast,generic,1,False,class_018
train_000298,train/images.npz,298,domain_09,3d_projection,contrast,generic,1,False,class_063
train_000299,train/images.npz,299,domain_09,3d_projection,contrast,generic,1,False,class_063
train_000300,train/images.npz,300,domain_08,ct,contrast,generic,2,False,class_056
train_000301,train/images.npz,301,domain_01,microscopy,none,generic,0,False,class_004
train_000302,train/images.npz,302,domain_11,microscopy,none,generic,0,False,class_083
train_000303,train/images.npz,303,domain_03,xray,contrast,generic,1,False,class_018
train_000304,train/images.npz,304,domain_07,ct,noise,generic,1,False,class_040
train_000305,train/images.npz,305,domain_07,ct,contrast,generic,1,False,class_036
train_000306,train/images.npz,306,domain_03,xray,none,generic,0,False,class_013
train_000307,train/images.npz,307,domain_03,xray,none,generic,0,False,class_020
train_000308,train/images.npz,308,domain_04,3d_projection,none,generic,0,False,class_027
train_000309,train/images.npz,309,domain_09,3d_projection,none,generic,0,False,class_061
train_000310,train/images.npz,310,domain_09,3d_projection,none,generic,0,False,class_068
train_000311,train/images.npz,311,domain_06,retinal,none,generic,0,False,class_033
train_000312,train/images.npz,312,domain_07,ct,noise,generic,1,False,class_037
train_000313,train/images.npz,313,domain_09,3d_projection,noise,generic,1,False,class_058
train_000314,train/images.npz,314,domain_10,ct,contrast,generic,2,False,class_074
train_000315,train/images.npz,315,domain_13,retinal,blur,generic,1,False,class_094
train_000316,train/images.npz,316,domain_15,microscopy,none,generic,0,False,class_098
train_000317,train/images.npz,317,domain_04,3d_projection,contrast,generic,2,False,class_029
train_000318,train/images.npz,318,domain_03,xray,blur,generic,1,False,class_012
train_000319,train/images.npz,319,domain_10,ct,none,generic,0,False,class_074
train_000320,train/images.npz,320,domain_15,microscopy,none,generic,0,False,class_103
train_000321,train/images.npz,321,domain_07,ct,blur,generic,2,False,class_046
train_000322,train/images.npz,322,domain_15,microscopy,none,generic,0,False,class_099
train_000323,train/images.npz,323,domain_15,microscopy,contrast,generic,1,False,class_100
train_000324,train/images.npz,324,domain_06,retinal,noise,generic,2,False,class_032
train_000325,train/images.npz,325,domain_01,microscopy,blur,generic,2,False,class_002
train_000326,train/images.npz,326,domain_04,3d_projection,brightness,generic,1,False,class_029
train_000327,train/images.npz,327,domain_03,xray,blur,generic,2,False,class_019
train_000328,train/images.npz,328,domain_07,ct,none,generic,0,False,class_040
train_000329,train/images.npz,329,domain_09,3d_projection,brightness,generic,1,False,class_058
train_000330,train/images.npz,330,domain_11,microscopy,none,generic,0,False,class_085
train_000331,train/images.npz,331,domain_11,microscopy,none,generic,0,False,class_083
train_000332,train/images.npz,332,domain_11,microscopy,brightness,generic,2,False,class_083
train_000333,train/images.npz,333,domain_07,ct,brightness,generic,1,False,class_046
train_000334,train/images.npz,334,domain_01,microscopy,noise,generic,1,False,class_004
train_000335,train/images.npz,335,domain_03,xray,brightness,generic,2,False,class_020
train_000336,train/images.npz,336,domain_14,3d_projection,noise,generic,1,False,class_097
train_000337,train/images.npz,337,domain_02,ultrasound,none,generic,0,False,class_010
train_000338,train/images.npz,338,domain_11,microscopy,none,generic,0,False,class_086
train_000339,train/images.npz,339,domain_04,3d_projection,noise,generic,1,False,class_029
train_000340,train/images.npz,340,domain_03,xray,brightness,generic,2,False,class_021
train_000341,train/images.npz,341,domain_10,ct,none,generic,0,False,class_076
train_000342,train/images.npz,342,domain_11,microscopy,none,generic,0,False,class_084
train_000343,train/images.npz,343,domain_11,microscopy,none,generic,0,False,class_083
train_000344,train/images.npz,344,domain_01,microscopy,none,generic,0,False,class_008
train_000345,train/images.npz,345,domain_01,microscopy,none,generic,0,False,class_006
train_000346,train/images.npz,346,domain_09,3d_projection,contrast,generic,2,False,class_068
train_000347,train/images.npz,347,domain_06,retinal,contrast,generic,1,False,class_033
train_000348,train/images.npz,348,domain_04,3d_projection,noise,generic,1,False,class_027
train_000349,train/images.npz,349,domain_07,ct,none,generic,0,False,class_046
train_000350,train/images.npz,350,domain_03,xray,contrast,generic,1,False,class_014
train_000351,train/images.npz,351,domain_08,ct,none,generic,0,False,class_051
train_000352,train/images.npz,352,domain_03,xray,none,generic,0,False,class_015
train_000353,train/images.npz,353,domain_01,microscopy,blur,generic,1,False,class_005
train_000354,train/images.npz,354,domain_08,ct,none,generic,0,False,class_055
train_000355,train/images.npz,355,domain_15,microscopy,none,generic,0,False,class_105
train_000356,train/images.npz,356,domain_07,ct,noise,generic,1,False,class_040
train_000357,train/images.npz,357,domain_13,retinal,none,generic,0,False,class_093
train_000358,train/images.npz,358,domain_01,microscopy,noise,generic,1,False,class_008
train_000359,train/images.npz,359,domain_08,ct,contrast,generic,1,False,class_050
train_000360,train/images.npz,360,domain_09,3d_projection,contrast,generic,1,False,class_067
train_000361,train/images.npz,361,domain_09,3d_projection,contrast,generic,1,False,class_058
train_000362,train/images.npz,362,domain_09,3d_projection,brightness,generic,1,False,class_061
train_000363,train/images.npz,363,domain_07,ct,contrast,generic,1,False,class_041
train_000364,train/images.npz,364,domain_03,xray,none,generic,0,False,class_012
train_000365,train/images.npz,365,domain_09,3d_projection,none,generic,0,False,class_068
train_000366,train/images.npz,366,domain_15,microscopy,none,generic,0,False,class_102
train_000367,train/images.npz,367,domain_11,microscopy,contrast,generic,1,False,class_082
train_000368,train/images.npz,368,domain_07,ct,none,generic,0,False,class_041
train_000369,train/images.npz,369,domain_01,microscopy,none,generic,0,False,class_003
train_000370,train/images.npz,370,domain_11,microscopy,noise,generic,1,False,class_088
train_000371,train/images.npz,371,domain_12,xray,none,generic,0,False,class_090
train_000372,train/images.npz,372,domain_06,retinal,contrast,generic,1,False,class_035
train_000373,train/images.npz,373,domain_06,retinal,none,generic,0,False,class_034
train_000374,train/images.npz,374,domain_01,microscopy,none,generic,0,False,class_003
train_000375,train/images.npz,375,domain_07,ct,blur,generic,1,False,class_044
